,,,"Vancouver, City [Census subdivision], British Columbia",,,,,,"Canada [Country]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
,,,"Counts (unless otherwise specified)",,,,,,
"Population and dwellings","Population; 2016",1,  631486,,,...,,...,35151728,,,...,,...
"Population and dwellings","Population; 2011",1,  603502,,,...,,...,33476688,,,...,,...
"Population and dwellings","Population percentage change; 2011 to 2016",,      4.6,,,...,,...,      5.0,,,...,,...
"Population and dwellings","Total private dwellings",2,  309418,,,...,,...,15412443,,,...,,...
"Population and dwellings","Private dwellings occupied by usual residents",3,  283916,,,...,,...,14072079,,,...,,...
"Population and dwellings","Population density per square kilometre",, 5492.6,,,...,,...,    3.9,,,...,,...
"Population and dwellings","Land area in square kilometres",,    114.97,,,...,,...,8965588.85,,,...,,...
"Age characteristics","Total - Age groups and average age of the population - 100% data",4,  631485,,  308515,,  322970,,35151730,,17264200,,17887530,
"Age characteristics","  0 to 14 years",,   70530,,   36640,,   33890,, 5839565,, 2992920,, 2846645,
"Age characteristics","    0 to 4 years",,   24615,,   12875,,   11745,, 1898790,,  973030,,  925760,
"Age characteristics","    5 to 9 years",,   22905,,   11800,,   11100,, 2018130,, 1034685,,  983445,
"Age characteristics","    10 to 14 years",,   23010,,   11965,,   11040,, 1922645,,  985200,,  937445,
"Age characteristics","  15 to 64 years",,  463390,,  227695,,  235695,,23376530,,11576130,,11800400,
"Age characteristics","    15 to 19 years",,   28270,,   14310,,   13965,, 2026160,, 1039215,,  986940,
"Age characteristics","    20 to 24 years",,   44150,,   21410,,   22740,, 2242690,, 1144495,, 1098200,
"Age characteristics","    25 to 29 years",,   63480,,   30985,,   32490,, 2285990,, 1144470,, 1141515,
"Age characteristics","    30 to 34 years",,   61715,,   30935,,   30785,, 2329395,, 1148290,, 1181110,
"Age characteristics","    35 to 39 years",,   48915,,   24275,,   24635,, 2288365,, 1118635,, 1169730,
"Age characteristics","    40 to 44 years",,   43890,,   21190,,   22700,, 2255135,, 1104440,, 1150695,
"Age characteristics","    45 to 49 years",,   46890,,   22845,,   24045,, 2359965,, 1157760,, 1202210,
"Age characteristics","    50 to 54 years",,   46845,,   23360,,   23480,, 2678075,, 1318755,, 1359320,
"Age characteristics","    55 to 59 years",,   42100,,   20355,,   21750,, 2620240,, 1285190,, 1335055,
"Age characteristics","    60 to 64 years",,   37150,,   18035,,   19115,, 2290510,, 1114885,, 1175630,
"Age characteristics","  65 years and over",,   97570,,   44180,,   53390,, 5935630,, 2695150,, 3240485,
"Age characteristics","    65 to 69 years",,   32760,,   15685,,   17075,, 1972480,,  953075,, 1019405,
"Age characteristics","    70 to 74 years",,   20835,,    9785,,   11050,, 1420875,,  677975,,  742900,
"Age characteristics","    75 to 79 years",,   16630,,    7550,,    9075,, 1021850,,  469550,,  552300,
"Age characteristics","    80 to 84 years",,   13115,,    5875,,    7245,,  749650,,  325765,,  423880,
"Age characteristics","    85 years and over",,   14225,,    5280,,    8945,,  770780,,  268790,,  501990,
