"Census Profile, 2021 Census of Population"
,,,"Vancouver, City (CY) [Census subdivision], British Columbia",,,,,,
,,,"Counts",,,,,,
"Topic","Characteristic","Note","Total","Total_Flag","Men+","Men+_Flag","Women+","Women+_Flag",
"Population and dwellings","Population, 2021",1,662248,"",,"...",,"...",
"Population and dwellings","Population, 2016",1,631486,"",,"...",,"...",
"Population and dwellings","Population percentage change, 2016 to 2021",,    4.9,"",,"...",,"...",
"Population and dwellings","Total private dwellings",2,328347,"",,"...",,"...",
"Population and dwellings","Private dwellings occupied by usual residents",3,305336,"",,"...",,"...",
"Population and dwellings","Population density per square kilometre",, 5749.9,"",,"...",,"...",
"Population and dwellings","Land area in square kilometres",,  115.18,"",,"...",,"...",
"Age characteristics","Total - Age groups of the population - 100% data",,662250,"",324570,"",337675,"",
"Age characteristics","  0 to 14 years",, 70570,"", 36595,"", 33980,"",
"Age characteristics","    0 to 4 years",, 23840,"", 12170,"", 11670,"",
"Age characteristics","    5 to 9 years",, 23070,"", 12140,"", 10930,"",
"Age characteristics","    10 to 14 years",, 23660,"", 12280,"", 11380,"",
"Age characteristics","  15 to 64 years",,478960,"",236425,"",242535,"",
"Age characteristics","    15 to 19 years",, 26315,"", 13645,"", 12670,"",
"Age characteristics","    20 to 24 years",, 43290,"", 21135,"", 22155,"",
"Age characteristics","    25 to 29 years",, 67155,"", 32785,"", 34375,"",
"Age characteristics","    30 to 34 years",, 69225,"", 34580,"", 34640,"",
"Age characteristics","    35 to 39 years",, 57330,"", 29065,"", 28270,"",
"Age characteristics","    40 to 44 years",, 45075,"", 22380,"", 22695,"",
"Age characteristics","    45 to 49 years",, 42045,"", 20055,"", 21990,"",
"Age characteristics","    50 to 54 years",, 44840,"", 21665,"", 23175,"",
"Age characteristics","    55 to 59 years",, 44360,"", 22060,"", 22305,"",
"Age characteristics","    60 to 64 years",, 39320,"", 19060,"", 20265,"",
"Age characteristics","  65 years and over",,112720,"", 51555,"", 61160,"",
"Age characteristics","    65 to 69 years",, 34590,"", 16420,"", 18170,"",
"Age characteristics","    70 to 74 years",, 30055,"", 14175,"", 15880,"",
"Age characteristics","    75 to 79 years",, 18520,"",  8495,"", 10025,"",
"Age characteristics","    80 to 84 years",, 13865,"",  6080,"",  7785,"",
"Age characteristics","    85 years and over",, 15695,"",  6385,"",  9310,"",
"Age characteristics","      85 to 89 years",,  9425,"",  4055,"",  5370,"",
"Age characteristics","      90 to 94 years",,  4685,"",  1870,"",  2815,"",
"Age characteristics","      95 to 99 years",,  1350,"",   410,"",   935,"",
"Age characteristics","      100 years and over",,   235,"",    50,"",   185,"",
"Age characteristics","Total - Distribution (%) of the population by broad age groups - 100% data",,  100.0,"",  100.0,"",  100.0,"",
"Age characteristics","  0 to 14 years",,   10.7,"",   11.3,"",   10.1,"",
"Age characteristics","  15 to 64 years",,   72.3,"",   72.8,"",   71.8,"",
"Age characteristics","  65 years and over",,   17.0,"",   15.9,"",   18.1,"",
"Age characteristics","    85 years and over",,    2.4,"",    2.0,"",    2.8,"",
"Age characteristics","Average age of the population",,   42.2,"",   41.5,"",   43.0,"",
"Age characteristics","Median age of the population",,   39.6,"",   38.8,"",   40.4,"",
"Household and dwelling characteristics","Total - Occupied private dwellings by structural type of dwelling - 100% data",,305335,"",,"...",,"...",
"Household and dwelling characteristics","  Single-detached house",, 44750,"",,"...",,"...",
"Household and dwelling characteristics","  Semi-detached house",,  4800,"",,"...",,"...",
"Household and dwelling characteristics","  Row house",, 10815,"",,"...",,"...",
"Household and dwelling characteristics","  Apartment or flat in a duplex",, 54305,"",,"...",,"...",
"Household and dwelling characteristics","  Apartment in a building that has fewer than five storeys",, 95120,"",,"...",,"...",
"Household and dwelling characteristics","  Apartment in a building that has five or more storeys",, 94815,"",,"...",,"...",
"Household and dwelling characteristics","  Other single-attached house",,   695,"",,"...",,"...",
"Household and dwelling characteristics","  Movable dwelling",4,    20,"",,"...",,"...",
"Household and dwelling characteristics","Total - Private households by household size - 100% data",,305335,"",,"...",,"...",
"Household and dwelling characteristics","  1 person",,119805,"",,"...",,"...",
"Household and dwelling characteristics","  2 persons",,100730,"",,"...",,"...",
"Household and dwelling characteristics","  3 persons",, 38600,"",,"...",,"...",
"Household and dwelling characteristics","  4 persons",, 29140,"",,"...",,"...",
"Household and dwelling characteristics","  5 or more persons",, 17060,"",,"...",,"...",
"Household and dwelling characteristics","Number of persons in private households",,650380,"",317905,"",332475,"",
"Household and dwelling characteristics","Average household size",,    2.1,"",,"...",,"...",
"Marital status","Total - Marital status for the total population aged 15 years and over - 100% data",,591675,"",287980,"",303700,"",
"Marital status","  Married or living common-law",,298085,"",149430,"",148660,"",
"Marital status","    Married",,230735,"",114860,"",115875,"",
"Marital status","    Living common-law",, 67350,"", 34570,"", 32780,"",
"Marital status","      Living common law - Never married",, 57990,"", 29630,"", 28355,"",
"Marital status","      Living common law - Separated",,  1120,"",   650,"",   465,"",
"Marital status","      Living common law - Divorced",,  7740,"",  4060,"",  3675,"",
"Marital status","      Living common law - Widowed",,   500,"",   225,"",   280,"",
"Marital status","  Not married and not living common-law",,293585,"",138550,"",155040,"",
"Marital status","    Not married and not living common law - Never married",,218140,"",113810,"",104325,"",
"Marital status","    Not married and not living common law - Separated",, 13790,"",  5870,"",  7920,"",
"Marital status","    Not married and not living common law - Divorced",, 37675,"", 14270,"", 23400,"",
"Marital status","    Not married and not living common law - Widowed",, 23985,"",  4595,"", 19390,"",
"Family characteristics","Total - Census families in private households by family size - 100% data",5,168660,"",,"...",,"...",
"Family characteristics","  2 persons",, 96975,"",,"...",,"...",
"Family characteristics","  3 persons",, 35905,"",,"...",,"...",
"Family characteristics","  4 persons",, 28165,"",,"...",,"...",
"Family characteristics","  5 or more persons",,  7615,"",,"...",,"...",
"Family characteristics","Average size of census families",,    2.7,"",,"...",,"...",
"Family characteristics","Average number of children in census families with children",6,    1.6,"",,"...",,"...",
"Family characteristics","Total number of census families in private households - 100% data",,168660,"",,"...",,"...",
"Family characteristics","  Total couple families",,142595,"",,"...",,"...",
"Family characteristics","    Married couples",,108925,"",,"...",,"...",
"Family characteristics","      With children",6, 58130,"",,"...",,"...",
"Family characteristics","      Without children",, 50790,"",,"...",,"...",
"Family characteristics","    Common-law couples",, 33675,"",,"...",,"...",
"Family characteristics","      With children",6,  5370,"",,"...",,"...",
"Family characteristics","      Without children",, 28305,"",,"...",,"...",
"Family characteristics","  Total one-parent families",, 26060,"",,"...",,"...",
"Family characteristics","    in which the parent is a woman+",, 21285,"",,"...",,"...",
"Family characteristics","    in which the parent is a man+",,  4780,"",,"...",,"...",
"Family characteristics","Total - Persons in private households - 100% data",,650380,"",317905,"",332470,"",
"Family characteristics","  Total - Persons in census families",,454055,"",224315,"",229740,"",
"Family characteristics","    Married spouses or common-law partners",,285190,"",143975,"",141215,"",
"Family characteristics","    Parents in one-parent families",, 26065,"",  4780,"", 21280,"",
"Family characteristics","    Children",6,142800,"", 75560,"", 67245,"",
